,Country,Rank_b,date_of_info_b,broadband_users,Rank_e,date_of_info_e,percent_education_of_gdp,Rank_g,date_of_info_g,gini_index,Rank_i,date_of_info_i,infant_deaths_per_1K_births,Rank_n,date_of_info_n,internet_users,Rank_m,date_of_info_m,maternal_deaths_per100Kbirths,Rank_u,date_of_info_u,percent_labor_force_unemployed
140,Curacao,141.0,2020.0,55000.0,16.0,2020.0,7.4,,,,153.0,2022.0,7.7,179.0,2019.0,107060.0,,,,177.0,2013.0,13.0
141,New Caledonia,142.0,2020.0,55000.0,,,,,,,176.0,2022.0,4.92,174.0,2019.0,222466.0,,,,201.0,2021.0,16.57
142,Togo,143.0,2020.0,52706.0,119.0,2020.0,4.0,37.0,2015.0,43.1,31.0,2022.0,39.79,128.0,2020.0,1986897.0,28.0,2017.0,396.0,55.0,2021.0,4.0
143,Gabon,144.0,2020.0,44607.0,149.0,2020.0,3.2,72.0,2017.0,38.0,57.0,2022.0,27.7,139.0,2020.0,1379951.0,41.0,2017.0,252.0,213.0,2021.0,22.26
144,Jersey,145.0,2020.0,39699.0,,,,177.0,2014.0,0.3,191.0,2022.0,3.81,199.0,2019.0,44198.0,,,,123.0,2021.0,7.37
145,Andorra,146.0,2020.0,37000.0,161.0,2021.0,2.9,,,,198.0,2022.0,3.39,187.0,2020.0,71084.0,,,,46.0,2016.0,3.7
146,Belize,147.0,2020.0,36000.0,9.0,2021.0,8.7,,,,130.0,2022.0,10.9,176.0,2020.0,202787.0,104.0,2017.0,36.0,137.0,2021.0,8.22
147,Seychelles,148.0,2020.0,34966.0,69.0,2020.0,5.2,20.0,2013.0,46.8,133.0,2022.0,10.38,184.0,2020.0,77785.0,,,,34.0,2017.0,3.0
148,Saint Lucia,149.0,2020.0,33000.0,139.0,2020.0,3.6,11.0,2016.0,51.2,120.0,2022.0,11.75,181.0,2020.0,97323.0,67.0,2017.0,117.0,203.0,2021.0,16.91
149,Grenada,150.0,2020.0,32000.0,136.0,2018.0,3.6,,,,140.0,2022.0,9.2,191.0,2020.0,64136.0,122.0,2017.0,25.0,217.0,2017.0,24.0
150,Madagascar,151.0,2020.0,32000.0,157.0,2020.0,3.1,39.0,2012.0,42.6,33.0,2022.0,38.27,118.0,2019.0,2696931.0,33.0,2017.0,335.0,26.0,2021.0,2.59
151,"Congo, Democratic Republic of the",152.0,2020.0,31000.0,168.0,2021.0,2.7,43.0,2012.0,42.1,10.0,2022.0,59.12,49.0,2020.0,12538597.0,23.0,2017.0,473.0,94.0,2021.0,5.43
152,Haiti,153.0,2020.0,31000.0,192.0,2020.0,1.4,47.0,2012.0,41.1,32.0,2022.0,38.78,101.0,2020.0,3990887.0,22.0,2017.0,480.0,196.0,2021.0,15.73
153,Saint Kitts and Nevis,154.0,2020.0,30000.0,176.0,2021.0,2.5,,,,146.0,2022.0,8.19,201.0,2019.0,42796.0,,,,65.0,1997.0,4.5
154,Benin,155.0,2020.0,29981.0,159.0,2020.0,3.0,75.0,2018.0,37.8,15.0,2022.0,54.33,111.0,2020.0,3152032.0,27.0,2017.0,397.0,11.0,2021.0,1.57
155,Sudan,156.0,2020.0,28782.0,,,,114.0,2014.0,34.2,29.0,2022.0,41.4,50.0,2020.0,12277795.0,38.0,2017.0,295.0,208.0,2021.0,19.81
156,Afghanistan,157.0,2020.0,26570.0,160.0,2020.0,2.9,153.0,2008.0,29.4,1.0,2022.0,103.06,76.0,2020.0,7007101.0,11.0,2017.0,638.0,182.0,2021.0,13.28
157,Guernsey,158.0,2020.0,25336.0,,,,,,,202.0,2022.0,3.3,193.0,2019.0,54726.0,,,,122.0,2021.0,7.37
158,Djibouti,159.0,2020.0,25053.0,134.0,2018.0,3.6,46.0,2017.0,41.6,25.0,2022.0,46.02,153.0,2020.0,582921.0,43.0,2017.0,248.0,223.0,2021.0,28.39
159,Cabo Verde,160.0,2020.0,24839.0,14.0,2020.0,7.6,40.0,2015.0,42.4,69.0,2022.0,22.96,167.0,2020.0,361392.0,91.0,2017.0,58.0,195.0,2021.0,15.42
160,Saint Vincent and the Grenadines,161.0,2020.0,24733.0,52.0,2018.0,5.7,,,,110.0,2022.0,12.59,208.0,2020.0,24408.0,70.0,2017.0,98.0,211.0,2021.0,21.62
161,Fiji,162.0,2020.0,23062.0,51.0,2020.0,5.7,145.0,2019.0,30.7,138.0,2022.0,9.85,161.0,2019.0,444978.0,107.0,2017.0,34.0,87.0,2021.0,5.24
162,Bermuda,163.0,2020.0,23000.0,187.0,2021.0,1.9,,,,221.0,2022.0,2.17,192.0,2020.0,62625.0,,,,116.0,2017.0,7.0
163,Gibraltar,164.0,2020.0,21009.0,,,,,,,169.0,2022.0,6.13,207.0,2019.0,31684.0,,,,6.0,2016.0,1.0
164,Papua New Guinea,165.0,2020.0,21000.0,193.0,2020.0,1.4,44.0,2009.0,41.9,41.0,2022.0,32.81,147.0,2019.0,965373.0,58.0,2017.0,145.0,28.0,2021.0,2.75
165,Monaco,166.0,2020.0,20877.0,195.0,2019.0,1.2,,,,224.0,2022.0,1.75,205.0,2019.0,37798.0,,,,17.0,2012.0,2.0
166,Aruba,167.0,2020.0,19000.0,54.0,2016.0,5.5,,,,119.0,2022.0,11.79,180.0,2019.0,103121.0,,,,129.0,2016.0,7.7
167,Mauritania,168.0,2020.0,18457.0,188.0,2020.0,1.9,132.0,2014.0,32.6,18.0,2022.0,49.95,129.0,2020.0,1906360.0,7.0,2017.0,766.0,169.0,2021.0,11.46
168,Faroe Islands,169.0,2020.0,18443.0,15.0,2019.0,7.6,176.0,2013.0,22.7,171.0,2022.0,5.86,197.0,2019.0,47703.0,,,,22.0,2017.0,2.2
169,Liechtenstein,170.0,2020.0,18050.0,174.0,2011.0,2.6,,,,188.0,2022.0,3.98,206.0,2019.0,37260.0,,,,23.0,2015.0,2.4
170,Rwanda,171.0,2020.0,17685.0,127.0,2021.0,3.8,33.0,2016.0,43.7,60.0,2022.0,25.64,108.0,2020.0,3497096.0,44.0,2017.0,248.0,12.0,2021.0,1.61
171,Dominica,172.0,2020.0,16000.0,57.0,2021.0,5.5,,,,127.0,2022.0,11.0,196.0,2019.0,50266.0,,,,214.0,2000.0,23.0
172,Greenland,173.0,2020.0,15649.0,4.0,2019.0,10.2,116.0,2015.0,33.9,142.0,2022.0,8.6,203.0,2019.0,39358.0,,,,148.0,2015.0,9.1
173,Burkina Faso,174.0,2020.0,13979.0,55.0,2020.0,5.5,18.0,2018.0,47.3,20.0,2022.0,48.17,95.0,2020.0,4598721.0,34.0,2017.0,320.0,70.0,2021.0,4.76
174,Liberia,175.0,2020.0,13000.0,170.0,2021.0,2.7,98.0,2016.0,35.3,28.0,2022.0,43.2,140.0,2020.0,1314996.0,10.0,2017.0,661.0,57.0,2021.0,4.09
175,Malawi,176.0,2020.0,12255.0,163.0,2020.0,2.9,69.0,2019.0,38.5,42.0,2022.0,32.68,119.0,2019.0,2608025.0,31.0,2017.0,349.0,117.0,2021.0,7.02
176,Eswatini,177.0,2020.0,12000.0,75.0,2021.0,5.0,5.0,2016.0,54.6,34.0,2022.0,38.12,155.0,2019.0,539623.0,25.0,2017.0,437.0,222.0,2021.0,25.76
177,Niger,178.0,2020.0,12000.0,126.0,2020.0,3.8,80.0,2018.0,37.3,6.0,2022.0,65.53,124.0,2019.0,2331072.0,20.0,2017.0,509.0,4.0,2021.0,0.75
178,San Marino,179.0,2020.0,11000.0,144.0,2020.0,3.4,,,,166.0,2022.0,6.36,211.0,2019.0,20318.0,,,,136.0,2017.0,8.1
179,Turkmenistan,180.0,2020.0,10000.0,158.0,2019.0,3.1,53.0,1998.0,40.8,36.0,2022.0,36.72,142.0,2022.0,1247940.0,157.0,2017.0,7.0,81.0,2021.0,5.08
180,Antigua and Barbuda,181.0,2020.0,8000.0,125.0,202.0,3.8,,,,106.0,2022.0,13.95,185.0,2019.0,73807.0,,,,165.0,2014.0,11.0
181,British Virgin Islands,182.0,2020.0,6738.0,172.0,2020.0,2.6,,,,107.0,2022.0,13.77,209.0,2020.0,23585.0,,,,32.0,2015.0,2.9
182,"Micronesia, Federated States of",183.0,2020.0,6000.0,6.0,2018.0,9.7,57.0,2013.0,40.1,76.0,2022.0,21.37,202.0,2019.0,39834.0,75.0,2017.0,88.0,198.0,2010.0,16.2
183,Tajikistan,184.0,2020.0,6000.0,48.0,2020.0,5.9,115.0,2015.0,34.0,48.0,2022.0,31.62,113.0,2022.0,3013256.0,132.0,2017.0,17.0,131.0,2021.0,7.75
184,Lesotho,185.0,2020.0,5060.0,11.0,2021.0,8.7,29.0,2017.0,44.9,23.0,2022.0,47.04,148.0,2020.0,921168.0,17.0,2017.0,544.0,218.0,2021.0,24.6
185,Anguilla,186.0,2018.0,5000.0,114.0,2020.0,4.0,,,,211.0,2022.0,3.02,215.0,2019.0,12489.0,,,,133.0,2002.0,8.0
186,Eritrea,187.0,2020.0,5000.0,,,,,,,30.0,2022.0,40.63,195.0,2019.0,53200.0,21.0,2017.0,480.0,134.0,2021.0,8.05
187,"Gambia, The",188.0,2020.0,5000.0,166.0,2020.0,2.8,93.0,2015.0,35.9,38.0,2022.0,36.44,149.0,2020.0,894166.0,13.0,2017.0,597.0,167.0,2021.0,11.21
188,Tonga,189.0,2020.0,5000.0,30.0,2021.0,6.6,76.0,2015.0,37.6,113.0,2022.0,12.1,200.0,2019.0,42844.0,94.0,2017.0,52.0,52.0,2021.0,3.97
189,Burundi,190.0,2020.0,4230.0,74.0,2020.0,5.0,67.0,2013.0,38.6,35.0,2022.0,36.75,145.0,2020.0,1070170.0,16.0,2017.0,548.0,14.0,2021.0,1.79
190,Cayman Islands,191.0,2020.0,3200.0,186.0,2019.0,2.1,,,,155.0,2022.0,7.47,194.0,2020.0,53233.0,,,,54.0,2008.0,4.0
